Ticker,Quarter,Cash Ratio,Debt to Equity,Retained to Assets
TRIP,2019-Q2,1.5141065830721003,0.6292063492063492,0.4310210444271239
TRIP,2019-Q3,1.9935897435897436,0.4975728155339806,0.4683954619124797
REYN,2019-Q4,0.2698412698412698,-6.08557457212714,
WMG,2019-Q4,0.21958141184817312,-23.36802973977695,-0.1956124314442413
WMG,2020-Q1,0.16505894962486603,-38.36094674556213,-0.17231548938866012
WMG,2020-Q2,0.17715959004392387,-22.487719298245615,-0.19039843239712606
ISSC,2019-Q4,10.10121114516709,0.06487138586912693,0.144476577225551
ISSC,2020-Q1,9.1366253694954,0.07059395567009688,0.15079769967162454
ISSC,2020-Q2,8.610044046364274,0.07444965574786018,0.15877915602486412
HQI,2019-Q4,0.4821969049670962,0.4996464110029505,0.07852892929754399
HQI,2020-Q1,1.049023600457771,0.517171591033538,0.09251907245040171
HQI,2020-Q2,1.8289332233472146,0.4225055384727275,0.11860774044686431
SWBI,2020-Q1,0.18687974314068884,0.743462481210135,0.5189143704163997
SWBI,2020-Q2,0.2575767366720517,0.8112103907737096,0.49719706823475884
BSY,2020-Q3,0.32586161573820804,151.0280217482225,-0.374105568378455
AMKR,2020-Q1,0.9541502783586527,1.337306211670411,0.061926117867993784
AMKR,2020-Q2,0.8526911099245031,1.4164203978595398,0.0690837136889714
AMKR,2020-Q3,0.6710157993848928,1.310943669898868,0.08673816634284802
EA,2020-Q1,2.3208722741433023,0.45001285016705217,0.6939914923785891
EA,2020-Q2,2.4269617706237425,0.42043343653250775,0.6988666085440279
EA,2020-Q3,1.9215349369988546,0.5597136757503454,0.6484702093397745
GCMG,2020-Q4,0.750007570251938,18.200085026267043,-0.04718177763578679
PPSI,2020-Q3,1.286878674505612,0.6565089365198932,-0.38863166597767673
PPSI,2020-Q4,1.3663777537016975,0.5359694061620608,-0.4765819514257528
PPSI,2021-Q1,0.6892383864860929,0.5646984483605982,-0.439468724759939
AFCG,2021-Q1,34.2195148586193,0.023916165340398893,-0.001383218628229648
VTRS,2020-Q4,0.07994016794630263,1.6815688700493594,0.08709892287946973
VTRS,2021-Q1,0.08086709894669326,1.7541455168645836,0.07330719982637947
MU,2020-Q4,1.227128862094951,0.3765001538619346,0.6219307723834718
MU,2021-Q1,1.2362869198312236,0.3454030621194277,0.6358235085954815
MU,2021-Q2,1.3222897110252163,0.3313085606079237,0.6414149810658539
HPK,2020-Q4,0.8714954312458213,0.13433257560741083,-0.19929916531890768
HPK,2021-Q1,0.2769142364602787,0.15883944999342883,-0.181570259796182
HPK,2021-Q2,0.23632683106367317,0.22416768271688453,-0.16002369201701458
PWP,2020-Q4,1.0225540311679433,6.3191027593923135,
PWP,2021-Q1,0.6247915989055104,0.1090655733772267,-0.0008801696978288843
PWP,2021-Q2,1.066969966039014,1.3410223076126597,-0.02047499230078696
XBIT,2020-Q4,59.579819277108435,0.014642653288932104,0.27581527884571894
XBIT,2021-Q1,88.15839764792356,0.01091173480110651,0.2668989155475642
XBIT,2021-Q2,81.02235929067078,0.01546918213011097,0.2539355174089435
TRS,2021-Q1,0.9560716474834843,1.5895598771750257,-0.09495885440290287
TRS,2021-Q2,0.8380442541042112,1.0832496653279786,-0.10820514880115667
TRS,2021-Q3,0.9895238783324904,1.0482159135304077,-0.09149142466580834
CNXC,2021-Q1,0.13397813978504425,1.143262106795442,0.017343022612070772
CNXC,2021-Q2,0.14753493935003198,1.0168805993276855,0.03365482611558845
CNXC,2021-Q3,0.1734860349778126,0.9524233607651549,0.0561877175891916
LKQ,2021-Q1,0.24221772237512035,1.1529991990078032,0.3980869383552445
LKQ,2021-Q2,0.14428335899736452,1.1017029830252552,0.4298562179195323
LKQ,2021-Q3,0.17341002876940084,1.0971050839676106,0.4518654410690755
DNUT,2021-Q2,0.036378957252983624,2.746919030610453,-0.05249549066130502
DNUT,2021-Q3,0.0921921593413717,1.3435105624441062,-0.05605226228607858
METC,2021-Q2,0.5253406289785194,0.332481259774578,0.09670473769841591
METC,2021-Q3,1.0307192862348447,0.5432053537797913,0.10341241925345387
METC,2021-Q4,0.4691598799828547,0.5588513980878744,0.14304644215017948
ZYXI,2021-Q2,3.636261387920369,0.4606980802792321,0.30504910511601235
ZYXI,2021-Q3,3.436455499417023,0.43134594449615826,0.3487428766685405
ZYXI,2021-Q4,1.8631454680599886,0.8028271897193101,
CEG,2021-Q4,0.020556325964597437,3.140347856035819,
ASO,2021-Q2,0.4687215684283133,2.2011393889824524,0.2720754540273503
ASO,2021-Q3,0.30554407123577626,2.39826699825726,0.25412152921463776
ASO,2021-Q4,0.43118950235558196,2.125500188827673,0.27657068576688026
ARKO,2021-Q2,0.6234566391355276,8.083256529425464,-0.006813787176575305
ARKO,2021-Q3,0.7399753686633467,7.246069916436176,0.005933564304611474
ARKO,2021-Q4,0.7613176180239647,7.319125414220926,0.009056257487828297
CXDO,2021-Q2,0.9319607147083185,0.20040790038643194,-0.6617825525989703
CXDO,2021-Q3,1.1194941125163542,0.17691113343684356,-0.6716720989187231
CXDO,2021-Q4,0.7375802469135803,0.17015758421427812,-0.6809026337619245
IRMD,2021-Q2,8.910099944530842,0.16451675210456165,0.5362028184351706
IRMD,2021-Q3,9.3851430397752,0.15476392251468252,0.5497837657960014
IRMD,2021-Q4,9.16072564214144,0.14835875497545467,0.5670139443312158
SIGA,2022-Q1,21.166888426984137,0.10021561995258334,-0.31806045369245756
EWCZ,2021-Q3,1.0175706033376124,0.7435782236418762,-0.009194871087275635
