Symbol
MSFT
NVDA
AAPL
AMZN
GOOG
GOOGL
META
TSLA
AVGO
NFLX
COST
PLTR
ASML
TMUS
CSCO
LIN
AZN
ISRG
AMD
INTU
PEP
ADBE
TXN
BKNG
QCOM
PDD
AMGN
SHOP
HON
AMAT
ARM
CMCSA
MELI
ADP
PANW
GILD
APP
SNY
ADI
VRTX
MSTR
LRCX
CRWD
MU
KLAC
SBUX
CME
INTC
CEG
CTAS
IBKR
CDNS
TRI
EQIX
ABNB
MDLZ
DASH
SNPS
FTNT
ORLY
MAR
WDAY
PYPL
NTES
CHTR
ADSK
COIN
REGN
ROP
CPRT
MNST
CSX
TEAM
AXON
MRVL
PAYX
AEP
HOOD
NXPI
PCAR
ROST
JD
FAST
NDAQ
KDP
EXC
VRSK
TCOM
FANG
IDXX
TTWO
XEL
DDOG
CTSH
CCEP
LULU
TTD
ZS
EA
BKR
ALNY
FER
ODFL
ACGL
MPWR
TW
DXCM
GEHC
ARGX
MCHP
EBAY
KHC
CSGP
WTW
BIDU
CRWV
LPLA
ANSS
LI
ERIC
TSCO
EXE
RYAAY
VRSN
FITB
SMCI
FCNCA
FCNCO
ZM
UAL
FOXA
CDW
SBAC
ONC
FWON.K
FWONK
DUOL
FOX
FWONA
HBAN
CHKP
CINF
VOD
STX
PODD
WBD
BNTX
GFS
OKTA
TROW
NTNX
EXPE
NTRS
PTC
GRAB
NTRA
NTAP
FSLR
STLD
SSNC
ERIE
TPG
RPRX
ON
ULTA
DOCU
PFG
DLTR
DKNG
BIIB
GEN
CYBR
RIVN
ESLT
WDC
SMMT
TRMB
CG
NWS
AFRM
DPZ
CASY
Z
COO
FFIV
ZG
FLEX
NWSA
SYM
LNT
SFM
KSPI
MDB
BSY
ALAB
ZBRA
EVRG
SOFI
ARCC
MNDY
FUTU
JBHT
WMG
LBRDK
LBRDA
UTHR
ALGN
TER
GLPI
REG
JKHY
EWBC
MORN
LOGI
MBLY
ILMN
EXEL
TXRH
HOLX
WWD
INSM
PAA
INCY
FTAI
AUR
GMAB
LINE
LAMR
NBIX
ENTG
VNOM
POOL
CHRW
MANH
RKLB
MMYT
CART
NDSN
HTHT
TTAN
PPC
AKAM
BMRN
RGLD
TLN
LECO
PCTY
DRS
LKQ
SWKS
TEM
HST
EXAS
SEIC
CPB
ICLR
SAIL
FRHC
VTRS
ROKU
WIX
DOX
GGAL
COKE
WYNN
CRDO
CELH
XP
NICE
MRNO
WBA
DSGX
HLNE
ASND
HAS
TTEK
AGNC
FYBR
MRNA
MTSI
SFD
NXT
CBSH
HSIC
ASTS
WING
GTLB
PNFP
NBIS
MEDP
AAON
HQY
PARAA
PEGA
VFS
ENSG
MASI
COOP
DBX
ONB
LCID
WTFC
UMBF
CVLT
PARA
MIDD
MKTX
BZ
FSV
CORT
AAL
CFLT
ROIV
APPF
BILI
TECH
SIRI
AVAV
EXLS
SAIA
RVMD
QRVO
OLED
ZION
CWST
LSCC
BPOP
OTEX
LLYVK
LLYVA
MTCH
CHDN
LNW
SRAD
SLM
OLLI
RGEN
STEP
LYFT
OS
WAY
SATS
CROX
JAZZ
ENPH
MAT
MDGL
CIGI
BPMC
APA
BBIO
VRNA
VIRT
CZR
BOKF
QFIN
UFPI
MKSI
RMBS
HALO
GRFS
TIGO
VERX
CCCS
SNDK
CACC
FIVE
MMSI
SAIC
PONY
URBN
NVMI
CRUS
BULL
CRVL
SPSC
FCFS
TLX
STRL
GLBE
IDCC
BRKR
ROAD
CHRD
LNTH
MARA
CSWI
DJT
CHA
LOPE
ETOR
ACT
BCPC
LITE
WSC
SIGI
LFUS
OPCH
NXST
CGNX
AXSM
UBSI
COLB
IEP
KTOS
IONS
OZK
RGC
IESC
ITRI
ALKS
GDS
VLY
ACIW
VRNS
FFIN
LEGN
NUVL
GNTX
LSTR
GH
CHX
ALGM
PECO
FROG
QLYS
AMKR
ETSY
TGTX
SITM
HWC
REYN
OMAB
RRR
ESGR
CALM
EEFT
BWIN
TSEM
NOVT
RELY
INTA
LANC
ADMA
FRSH
RDNT
UPST
IRTC
SANM
BGC
AEIS
SOUN
LIF
SLAB
AVT
NSIT
PAGP
VCTR
BANF
SNEX
SBRA
PLMR
BTSG
CVCO
FIZZ
CLBT
TMDX
SKYW
ATAT
RUSHB
GSHD
IBOC
GLNG
FRPT
FTDR
TENB
FELE
RUSH.A
RUSHA
EXPO
IPAR
PCVX
DORM
AVPT
GBDC
SNRE
VEON
RYTM
OSIS
BRZE
SLNO
VRRM
KRYS
TFSL
CAR
COLM
SMPL
SHC
STNE
PTCT
PLXS
CYTK
ODD
PI
CNXC
TCBI
WFRD
RUM
RNA
LBTYB
LBTYK
HEES
SWTX
SRPT
ICUI
LBTYA
SMTC
BL
BHF
ARLP
NWE
LAUR
RGTI
MGEE
KC
FULT
GTM
WDFC
OTTR
MRX
XRAY
RARE
CARG
ACLX
PRCT
DLO
AKRO
ALVO
FA
GT
PCH
WSFS
ALKT
CRSP
CORZ
ZLAB
CATY
RIOT
EBC
PSMT
WSBC
FHB
VKTX
AMED
POWI
BLKB
PRVA
CAMT
INTR
ASO
IAC
SGRY
SEZL
DRVN
TTMI
ALHC
ACAD
NMIH
RUN
SRRK
CRNX
ALRM
PATK
USLM
FIBK
CPRX
NMRK
MGRC
NCNO
IPGP
IRDM
MRUS
INDB
CVBF
PTGX
MRCY
CAKE
VSEC
BTDR
PRGS
MTSR
DOOO
AMBA
BATRA
CLSK
MLCO
CHEF
BATRK
TOWN
PAYO
TBBK
MYRG
FORM
SKWD
PTON
SYNA
SFNC
MCW
NWL
WRD
HWKN
APPN
DAVE
GCMG
RNW
WAFD
GTX
CCOI
FFBC
MLTX
LIVN
APGE
HURN
IMVT
VC
ACHC
PTEN
GSAT
IBRX
AMRX
MQ
ENLT
HCM
PENN
HSAI
WEN
AGYS
FRME
PSNY
SYBT
JJSF
CENT
XENE
MEOH
BANR
LFST
UPWK
DIOD
MIRM
MGNI
QDEL
VCYT
SSRM
JOYY
IOSP
SBCF
HUBG
PPBI
TRMK
EXTR
BLTE
POWL
BCRX
STRA
ARWR
LUNR
FIVN
VIAV
NAMS
NBTB
VCEL
ROOT
SIMO
WB
DNLI
APLS
PRDO
CENTA
DGNX
EFSC
BUSE
ACLS
AVDX
LZMH
NEXT
LGND
PAX
ADUS
OSW
COCO
HRMY
SBLK
NVCR
KYMR
HTZ
VICR
EVCM
TRUP
AAPG
CGON
SHOO
SSII
CASH
TWFG
KNSA
PLTK
LMAT
CERT
PGNY
TVTX
UFPT
PINC
IREN
ATEC
IQ
FOLD
TARS
SUPN
WGS
ROCK
CSGS
TWST
KLIC
TRIP
NN
CHCO
CNXN
GLPG
HTO
FBNC
AFYA
JBLU
PLUS
TRMD
WERN
RXRX
CLOV
SDGR
BEAM
BGM
XMTR
CNTA
PWP
LZ
NTCT
PLYA
LQDA
AGIO
OPRA
IRON
ARQT
HUT
PSEC
ICFI
NWBI
EOSE
GOGO
VNET
CLBK
ATRC
HLMN
SPNS
GOGL
FORTY
AMPL
LKFN
TIGR
PCT
ACMR
ARCB
KARO
CENX
GDRX
SRCE
LOT
JAMF
CRTO
MBIN
VITL
MCRI
NYAX
IDYA
EWTX
RPD
TNDM
WINA
TASK
HDL
ENVX
GABC
ADEA
STBA
HIMX
EYE
MESO
VSAT
IMCR
LX
NVEE
RBCAA
UPBD
TFIN
LMB
NEOG
STGW
NAVI
GRAL
GPCR
DXPE
ZD
MNKD
EVO
SPT
FLYW
JANX
EH
GO
INDV
TCBK
VBTX
VERA
ADPT
WULF
HOPE
ASTH
DMLP
DYN
LGIH
CLDX
CRCT
WABC
CCB
IAS
PLAB
OMCL
CCEC
PZZA
CRAI
SONO
CMPO
ARRY
RDFN
DSGR
CBRL
BLBD
QUBT
APLD
DEFT
HPK
OCSL
COMM
EXPI
VECO
DGII
SEDG
AZTA
EVGO
TILE
KMTS
GDYN
SAFT
GIII
ANDE
MLKN
SPRY
QCRH
MFIC
DCOM
AHCO
ANIP
UNIT
PCRX
IMKTA
IMKT.A
ARHS
CIFR
AVAH
CLMT
WBTN
NMFC
INVA
TMC
BFC
KALU
AMPH
SABR
OCUL
DVAX
TXG
MRTN
INOD
PFBC
CMPR
ETNB
PLSE
NXTT
AUPH
TBLA
MXL
VRNT
BBSI
HLIT
PEBO
LILAK
FOXF
ATRO
SBGI
MVST
IGIC
LILA
PGY
UDMY
ESTA
CSWC
HCSG
OPK
AAOI
MDXG
BLFS
FWRG
GRPN
OCFC
XPEL
PRCH
KRNT
VRDN
CGBD
FSUN
NVAX
UCTT
PENG
PNTG
MSEX
IART
RDWR
NEO
ACDC
TRS
DSP
AMBR
MLYS
INMD
MOMO
BJRI
BRKL
BASE
NSSC
FLNC
ALGT
BELFB
WVE
OCS
WLFC
NNE
PAHC
ASTE
GYRE
NUTX
CTBI
PTLO
ECPG
TRIN
AMAL
COLL
HROW
CNOB
AEVA
ULCC
SSYS
AMSC
CECO
UXIN
SCSC
BELFA
STAA
CRSR
REAX
AMWD
CDNA
QNST
FMBH
UVSP
SLRC
HSII
AMSF
EVER
APOG
BHRB
WOOF
SYRE
IIIV
ELVN
PHVS
BMBL
PPTA
HEPS
THRM
AVDL
OLPX
ABL
TSAT
USAR
NTGR
NRDS
HSTM
NTLA
NAGE
COHU
RDUS
HFWA
TIPT
HNRG
FARO
KRUS
TDUP
ARDX
CRON
SIBN
ZYME
PDFS
ATLC
CNCK
CRMD
PSIX
BCAX
ANGI
DCBO
AIOT
VMEO
GDEN
PLAY
WRLD
OSBC
MGIC
CVAC
GERN
SNDX
BLMN
LENZ
SGML
GLDD
LQDT
XERS
SHLS
AVO
HBT
PRAX
PLUG
EZPW
TRNS
ITRN
MCBS
MBWM
CFFN
DAKT
DGIC.A
DGICA
NEXN
NBN
JBSS
BFST
DHC
ESQ
FCBC
STKL
UFCS
QURE
RCKT
DGICB
NRIX
HAFC
HTLD
CSIQ
AVXL
HCKT
GSM
CRESY
WEST
ANNA
CGNT
FDUS
SWIM
HBNC
AOSL
CAC
IMNM
GCT
TH
MGPI
NFE
ULH
EVLV
RDVT
WLDN
PLPC
IRMD
XRX
HELE
EMBC
IBCP
IMOS
GSBC
LINC
ERII
CCBG
AKBA
NBBK
GHRS
YB
GOOD
JFIN
SPTN
TCPC
SVRA
ADTN
AVBP
IPX
ADSE
NYMT
ICHR
EOLS
SNCY
MLAB
VINP
SHEN
MATW
RBBN
NESR
CBLL
PHAR
THFF
SENEB
LASR
MBUU
TRVI
VIR
FSBC
SENEA
DAWN
TTGT
SMBC
MOFG
SLP
OSPN
TRST
THRY
CTLP
KRT
FLGT
PRAA
ORRF
OUST
ASTL
DNTH
ARKO
FIP
ABCL
ANAB
FUFU
ABUS
BBNX
PRTH
REAL
BITF
GLAD
SION
INDI
CCAP
IOVA
HTBK
TBLD
RCAT
SPFI
XNCR
EGBN
LIND
GBFH
KALV
BYRN
FBYD
CASS
AHG
HIFS
FWRD
WASH
HNST
KROS
IMTX
LEGH
KIDS
INNV
BCYC
ALRS
PUBM
NPCE
DJCO
DCTH
RZLV
REPL
ALNT
ECX
MPB
DNUT
CBNK
FISI
SFIX
RGLS
COGT
VLGEA
ODP
RXST
SCVL
CLFD
AXGN
ATEX
GAIN
OPEN
ACIC
ETON
DADA
STOK
TYRA
TSHA
VALN
FMNB
AMRK
KURA
PGC
SATL
CEVA
TREE
NFBK
PFIS
ALTI
CMCO
DDI
SHBI
APEI
FRPH
TALK
MRVI
METC
EBTC
CLMB
MNMD
BCAL
NRIM
METCB
PERI
RSVR
DH
SERV
RMR
NCMI
TITN
CCNE
RLAY
OFIX
SCHL
CSTL
HONE
UPB
LYTS
CCCX
YORW
ALT
APPS
