Ticker,Quarter,Gross Margin,Operating Margin,Net Margin,Interest Coverage Ratio,Earnings Volatility Proxy
TRIP,2019-Q2,0.9360189573459715,0.15639810426540285,0.08056872037914692,33.0,45345892.86804263
TRIP,2019-Q3,0.9415887850467289,0.1588785046728972,0.11682242990654206,-22.666666666666668,45345892.86804263
REYN,2019-Q4,0.3149700598802395,0.22634730538922157,0.10778443113772455,5.4,38231749.45861969
WMG,2019-Q4,0.4314946619217082,0.025800711743772242,0.0800711743772242,0.8529411764705882,29010055.727856394
WMG,2020-Q1,0.47054140127388533,0.13136942675159236,0.09554140127388536,5.0,29010055.727856394
WMG,2020-Q2,0.5004668534080299,-0.0457516339869281,-0.06909430438842204,-1.4848484848484849,29010055.727856394
ISSC,2019-Q4,0.5954313088662445,0.18180657677611856,0.20764670798844145,-8.586759383114329,718346.7958116864
ISSC,2020-Q1,0.5766792687370828,0.051371317463118106,0.07268385974463075,-2.938481044757195,718346.7958116864
ISSC,2020-Q2,0.47469289451124236,0.010705750594873078,0.09060995043499932,-0.7876173521401074,718346.7958116864
HQI,2019-Q4,,0.45517889736336237,0.5896519963921004,70.81662118843882,872989.6429320708
HQI,2020-Q1,,0.20262108004867013,0.21242282428001488,73.94764815306937,872989.6429320708
HQI,2020-Q2,,0.32316967655869205,0.39883005456757864,52.52168067226891,872989.6429320708
SWBI,2020-Q1,0.3869647838919662,0.009242712165932155,-0.017046051833582664,0.4350970688998858,11069801.804910501
SWBI,2020-Q2,0.28423406283534874,0.03140971041145568,0.011353262831590678,1.1770937808489634,11069801.804910501
BSY,2020-Q3,0.7900067488682099,0.15494317650014533,0.02878860278723331,16.263185108583247,61831733.13315745
AMKR,2020-Q1,0.16389500058996231,0.07294103153175038,0.05542956197033531,4.932414197711939,37236216.80009037
AMKR,2020-Q2,0.16396838970457214,0.07376872374583195,0.0472534527401529,5.40369722707969,37236216.80009037
AMKR,2020-Q3,0.1780508898297887,0.09414094147588335,0.0680571895750663,7.770604730553524,37236216.80009037
EA,2020-Q1,0.8026045236463331,0.32282385195339275,0.25017135023989034,42.88732788728008,104716681.2562991
EA,2020-Q2,0.7515204170286707,0.12945264986967853,0.16072980017376196,13.53134627178263,104716681.2562991
EA,2020-Q3,0.6407650926479378,0.15002988643156007,0.1261207411835027,22.836496688526015,104716681.2562991
GCMG,2020-Q4,,-0.4697983124099609,0.026040594772586953,-12.316304164559096,1672059.807542782
PPSI,2020-Q3,0.1824240928165885,-0.11133053567020489,0.33053567020488767,8.2,2561057.3825407894
PPSI,2020-Q4,0.04914050822122571,-0.16834828101644245,-0.13901345291479822,9.793478260869565,2561057.3825407894
PPSI,2021-Q1,0.045402627070245574,-0.3158195316961736,0.10022844089091948,11.89247311827957,2561057.3825407894
AFCG,2021-Q1,,0.5310387075360645,0.2989868740801771,,9413154.869694127
VTRS,2020-Q4,0.1949496343314475,-0.21175658893335172,-0.2527390644404581,-5.31371191135734,509242681.99618405
VTRS,2021-Q1,0.25445229442701395,-0.05491727422522177,-0.2342053585535968,-1.4396449704142011,509242681.99618405
MU,2020-Q4,0.3414795244385733,0.19105019815059446,0.16314398943196828,31.27027027027027,1189362399.2150865
MU,2021-Q1,0.3007102026675905,0.15000866100814134,0.1390957907500433,22.789473684210527,1189362399.2150865
MU,2021-Q2,0.26443232841565106,0.1063181526619628,0.0966966003848621,20.71875,1189362399.2150865
HPK,2020-Q4,1.2711263299498594,-1.4867310749663691,8.389996331172801,-1519.625,37344005.01977079
HPK,2021-Q1,0.9134035851771202,0.2312478127308784,0.1844694171170821,112.20754716981132,37344005.01977079
HPK,2021-Q2,0.9027967681789931,0.43660658794282164,0.11897659001450175,138.65131578947367,37344005.01977079
PWP,2020-Q4,0.2010732506806947,0.043183800787755425,0.01541674376800867,2.117159149818559,16561309.670433676
PWP,2021-Q1,0.3553079469028633,0.1651570652878058,0.1325484976619828,7.250258531540848,16561309.670433676
PWP,2021-Q2,0.3565904821540388,0.19979257983719473,-0.048915936130244204,14.196607341490544,16561309.670433676
XBIT,2020-Q4,0.5733535775289429,-0.9341431011577149,-0.34883279559688746,38.453125,2301541.277058774
XBIT,2021-Q1,0.5249484536082474,-0.7325773195876288,-0.5294845360824743,32.596330275229356,2301541.277058774
XBIT,2021-Q2,0.6994475138121546,-2.343646408839779,-1.1310497237569062,86.21951219512195,2301541.277058774
TRS,2021-Q1,0.24829487737628791,0.10211386833067286,0.0631741885551202,5.946478873239436,4862669.877066779
TRS,2021-Q2,0.26498926891638885,0.11676332252614274,0.05406639572583223,6.206310679611651,4862669.877066779
TRS,2021-Q3,0.26274615592123013,0.1385666756586638,0.08807661181548422,8.959302325581396,4862669.877066779
CNXC,2021-Q1,0.3591649313740414,0.09967575028929754,0.06562657487966257,17.51122939114631,12332746.774340259
CNXC,2021-Q2,0.3523883148718353,0.09360249598869388,0.060519257919318364,19.010229799851743,12332746.774340259
CNXC,2021-Q3,0.3444914335362795,0.10834059163314251,0.07854995272860782,31.096754313886606,12332746.774340259
LKQ,2021-Q1,0.4080731630400505,0.119520655944497,0.08388520971302428,15.791666666666666,52554733.373883665
LKQ,2021-Q2,0.4119359534206696,0.13071324599708878,0.08879184861717612,28.0625,52554733.373883665
LKQ,2021-Q3,0.40764331210191085,0.11586290567182286,0.08613891416439187,23.875,52554733.373883665
DNUT,2021-Q2,0.7565280394975744,0.026132204613014267,-0.04909131523027842,0.6244012590666485,19864705.661046173
DNUT,2021-Q3,0.7311777455593511,0.00532090233635454,-0.016508216184994706,0.2538268856109101,19864705.661046173
